run,year,electricity
58,2050,1429770.17422
59,2015,1052092.732
59,2020,1110149.05092
59,2025,1158369.41362
59,2030,1210568.7228599899
59,2035,1252803.5042700002
59,2040,1310012.04252
59,2045,1372108.647375
59,2050,1430562.99209
60,2015,1052092.732
60,2020,1110089.0895
60,2025,1158339.11932
60,2030,1210668.90970999
60,2035,1253017.20766999
60,2040,1310303.38539
60,2045,1372417.153782
60,2050,1430976.75714999
